tipo,lat,lng
Domus,-25.53389182,-49.25503525,
Novo mobiliário,-25.40126,-49.26492,
Especial Madrugueiro,-25.4304382,-49.2927213,
Novo mobiliário,-25.42681,-49.25232,
Chapéu chinês,-25.49771057,-49.335181,
Chapéu chinês,-25.4957214,-49.3023882,
Plataforma,-25.51296865,-49.29483318,
Novo mobiliário,-25.47788062,-49.24331703,
Chapéu chinês,-25.50778017,-49.33457616,
Chapéu chinês,-25.52944102,-49.3121344,
Especial Madrugueiro,-25.48093424,-49.29258853,
Chapéu chinês,-25.3747326,-49.2360154,
Novo mobiliário,-25.4167332,-49.26786335,
Chapéu chinês,-25.48907709,-49.29712582,
Sem demarcação,-25.53645,-49.33213,
Chapéu chinês,-25.52587847,-49.29761452,
Estação tubo,-25.43194916,-49.29648343,
Novo mobiliário,-25.41228698,-49.27409671,
Placa em cano,-25.51931,-49.24385,
Novo mobiliário,-25.40380088,-49.32819653,
Domus,-25.53686188,-49.31507751,
Novo mobiliário,-25.42848121,-49.27108157,
Sem demarcação,-25.48904569,-49.32717661,
Sem demarcação,-25.39236365,-49.21611939,
Placa em cano,-25.3706795,-49.3289462,
Chapéu chinês,-25.45643,-49.20835,
Placa em cano,-25.46429034,-49.26410129,
Novo mobiliário,-25.4497691,-49.30444207,
Sem demarcação,-25.50050506,-49.32248435,
Plataforma,-25.49176142,-49.29339084,
Estação tubo,-25.48144967,-49.24739471,
Novo mobiliário,-25.44583918,-49.2690145,
Novo mobiliário,-25.47117262,-49.23019666,
Chapéu chinês,-25.56073272,-49.31457963,
Sem demarcação,-25.40812439,-49.33715913,
Novo mobiliário,-25.38846079,-49.20695397,
Sem demarcação,-25.38071852,-49.2762636,
Sem demarcação,-25.45798931,-49.3361942,
Domus,-25.52116141,-49.29891083,
Sem demarcação,-25.5018381,-49.25627179,
Chapéu chinês,-25.42670544,-49.32514487,
Novo mobiliário,-25.38409776,-49.24920049,
Domus,-25.54386567,-49.32636827,
Placa em cano,-25.45179782,-49.30383,
Sem demarcação,-25.37959978,-49.23387271,
Estação tubo,-25.53111192,-49.25562439,
Plataforma,-25.44020851,-49.2213856,
Chapéu chinês,-25.47579203,-49.35908606,
Novo mobiliário,-25.48234128,-49.21454328,
Domus,-25.49223432,-49.34381939,
Domus,-25.44895206,-49.30910322,
Chapéu chinês,-25.41009772,-49.32327065,
Placa em poste,-25.38143277,-49.19295717,
Placa em poste,-25.41900793,-49.34933603,
Novo mobiliário,-25.46275767,-49.34573616,
Novo mobiliário,-25.40651978,-49.27605205,
Chapéu chinês,-25.35188941,-49.2431581,
Novo mobiliário,-25.4417635,-49.2610367,
Placa em cano,-25.38018143,-49.23767536,
Placa em cano,-25.52494674,-49.28136617,
Chapéu chinês,-25.49768224,-49.31850364,
Domus,-25.55413345,-49.32470396,
Chapéu chinês,-25.44758,-49.25056,
Estação tubo,-25.43185137,-49.29653649,
Sem demarcação,-25.52723912,-49.30300656,
Novo mobiliário,-25.43363947,-49.29215166,
Novo mobiliário,-25.43772,-49.30163,
Domus,-25.36388972,-49.23264302,
Novo mobiliário,-25.41639268,-49.2170195,
Chapéu chinês,-25.46236073,-49.33768332,
Chapéu chinês,-25.42159118,-49.33506574,
Estação tubo,-25.4349402,-49.30433661,
Domus,-25.48391639,-49.32386006,
Novo mobiliário,-25.43163,-49.24487,
Placa em poste,-25.42842817,-49.33728184,
Sem demarcação,-25.58892098,-49.26693487,
Sem demarcação,-25.38230943,-49.22396219,
Chapéu chinês,-25.49041737,-49.22804464,
Placa em poste,-25.43987419,-49.3580338,
Chapéu chinês,-25.40558651,-49.20964959,
Novo mobiliário,-25.46355796,-49.30717069,
Chapéu chinês,-25.43652159,-49.33636694,
Novo mobiliário,-25.42658206,-49.28729016,
Estação tubo,-25.42996531,-49.26751365,
Domus,-25.6345428,-49.35354441,
Chapéu chinês,-25.38285,-49.36486,
Domus,-25.37620991,-49.25505872,
Especial Madrugueiro,-25.42879222,-49.28811729,
Novo mobiliário,-25.46024811,-49.23773702,
Novo mobiliário,-25.40931938,-49.24918251,
Sem demarcação,-25.42525458,-49.28830806,
Plataforma,-25.49214032,-49.29334927,
Estação tubo,-25.52883803,-49.24592651,
Domus,-25.56956912,-49.31509462,
Sem demarcação,-25.57244317,-49.26159996,
Chapéu chinês,-25.42563422,-49.34272708,
Novo mobiliário,-25.40503271,-49.26389459,
Chapéu chinês,-25.48616151,-49.33540468,
Novo mobiliário,-25.46582824,-49.31365627,
Chapéu chinês,-25.3894312,-49.34438856,
Novo mobiliário,-25.48947052,-49.21639401,
Novo mobiliário,-25.43085995,-49.28164411,
Chapéu chinês,-25.50033317,-49.33788304,
Chapéu chinês,-25.55637419,-49.32198957,
Chapéu chinês,-25.39299,-49.35259,
Placa em poste,-25.37248137,-49.28504515,
Novo mobiliário,-25.35096,-49.26517,
Novo mobiliário,-25.41159464,-49.24746656,
Chapéu chinês,-25.37926513,-49.27833158,
Plataforma,-25.51636236,-49.23070318,
Novo mobiliário,-25.46743493,-49.30918073,
Placa em cano,-25.40148959,-49.27521251,
Sem demarcação,-25.47722864,-49.2845999,
Chapéu chinês,-25.46901,-49.19976,
Chapéu chinês,-25.39787366,-49.20147245,
Chapéu chinês,-25.4074526,-49.2086074,
Chapéu chinês,-25.4784649,-49.27279655,
Placa em cano,-25.41888343,-49.25941262,
Plataforma,-25.41301,-49.20525,
Domus,-25.56898934,-49.33225337,
Sem demarcação,-25.59346523,-49.27720505,
Sem demarcação,-25.53403347,-49.24328613,
Chapéu chinês,-25.51242674,-49.33295879,
Novo mobiliário,-25.43689736,-49.30039141,
Especial Madrugueiro,-25.45263068,-49.21424925,
Novo mobiliário,-25.46248393,-49.22313966,
Chapéu chinês,-25.5066105,-49.32428587,
Domus,-25.3813991,-49.2721383,
Sem demarcação,-25.37755968,-49.24722734,
Novo mobiliário,-25.39959853,-49.25334881,
Chapéu chinês,-25.37747959,-49.24384624,
Domus,-25.54163,-49.26486,
Linha Turismo,-25.40457229,-49.28828493,
Plataforma,-25.39325912,-49.24098878,
Domus,-25.38338335,-49.28156766,
Placa em poste,-25.44229152,-49.25856772,
Novo mobiliário,-25.39149647,-49.29679757,
Chapéu chinês,-25.47670087,-49.34747462,
Placa em poste,-25.46032258,-49.23998672,
Domus,-25.48028729,-49.26833499,
Plataforma,-25.37767511,-49.26247455,
Chapéu chinês,-25.35151061,-49.27113977,
Especial Madrugueiro,-25.46455178,-49.29128766,
Placa em cano,-25.40803959,-49.33716583,
Chapéu chinês,-25.39365831,-49.3419035,
